#{"t_start": 1775728286.164499, "env_id": "None"}
r,l,t,tasks_completed,runtime,throughput
0.011999,1,249.536016,13,244.5,0.053170696453693385
0.021338,1,638.487198,13,384.12,0.033843729196866505
0.003675,1,895.796488,13,252.5,0.05148584997472601
0.014906,1,1224.067637,13,322.9,0.040260674919573275
0.024179,1,1649.284989,13,419.29,0.03100505146916428
0.003733,1,1908.520658,13,252.81,0.05142213332147874
0.050433,1,2154.652395,13,237.58,0.05471913736728382
0.021666,1,2550.539006,13,387.91,0.0335130119795325
0.004668,1,2813.217857,13,257.56,0.050473464161952454
0.002794,1,3067.380714,13,248.4,0.052334473653049586
0.002617,1,3321.491759,13,247.61,0.05250255705616611
0.00074,1,3568.018235,13,239.03,0.054386970339481144
0.004705,1,3834.549283,13,257.74,0.05043832595953454
0.024276,1,4263.483043,13,420.81,0.03089316091858229
0.002596,1,4522.046643,13,247.47,0.05253130732011521
0.000286,1,4768.371322,13,237.2,0.05480636768412849
0.00178,1,5021.661178,13,243.8,0.05332213547292266
0.002736,1,5280.780526,13,248.1,0.05239912637473399
0.02233,1,5687.741671,13,395.84,0.03284158458996278
0.001572,1,5935.644371,13,242.71,0.05356240661922144
0.000949,1,6181.420856,13,239.94,0.05418072789752515
0.023523,1,6598.62782,13,410.75,0.03164903259021688
0.050388,1,6843.029176,13,237.54,0.05472811036083424
0.003619,1,7102.865335,13,252.35,0.05151591514815462
0.002807,1,7359.23192,13,248.52,0.05231029173824401
0.002356,1,7614.234339,13,246.34,0.05277212294927119
0.005524,1,7885.398613,13,262.03,0.04961306998709101
0.050221,1,8131.678255,13,236.81,0.054896454429138056
0.000743,1,8381.327081,13,239.25,0.05433699888995012
0.004189,1,8647.716563,13,255.16,0.050948933505226536
0.004399,1,8922.964805,13,256.24,0.05073394892042796
0.021815,1,9318.491052,13,389.75,0.033354778873538424
0.003024,1,9574.364881,13,249.54,0.052095082308945814
0.004182,1,9836.684187,13,255.14,0.050952748315271065
0.016387,1,10179.599632,13,335.24,0.03877785928078109
0.050123,1,10424.879176,13,236.34,0.055004362564204885
0.023309,1,10842.249591,13,407.94,0.03186748716870508
0.050117,1,11087.628437,13,236.36,0.05500165010643559
0.023908,1,11513.529897,13,415.79,0.031265413016845114
0.025093,1,11951.281602,13,432.14,0.030083141172543636
0.000468,1,12194.913077,13,237.9,0.05464523758092253
